model_variant,removed_group,AUM,IC_mean,IC_tstat,net_annual_return,net_vol,net_sharpe,max_drawdown,avg_turnover,avg_gross_exposure_used
full_model,none,50000000.0,0.028939809601632026,9.93408990179203,0.06659354064331535,0.05025558519968462,1.3081173675648727,-0.13818749944266362,1.9983042622109428,0.9991521311054714
full_model,none,250000000.0,0.028939809601632026,9.93408990179203,0.07309949726777476,0.04967332209670042,1.445317767744716,-0.10186483004750502,1.4994261528447443,0.7497130764223722
full_model,none,1000000000.0,0.028939809601632026,9.93408990179203,0.03501463197739163,0.02689737699223359,1.2930306226032406,-0.05559894040437385,0.5069266574089187,0.25346332870445937
remove_return/reversal,return/reversal,50000000.0,0.01126242192159209,3.332857660047938,-0.08030371512432732,0.04958919692134953,-1.6630042290903062,-0.7146956164957494,1.9236688077166446,0.9618344038583223
remove_return/reversal,return/reversal,250000000.0,0.01126242192159209,3.332857660047938,-0.0362281978588761,0.03264731642132036,-1.113875967391322,-0.46662178910081653,0.9535962588192524,0.4767981294096262
remove_return/reversal,return/reversal,1000000000.0,0.01126242192159209,3.332857660047938,-0.008180342351683745,0.009603318328254357,-0.850513533254103,-0.13504836525046093,0.25369312475525746,0.12684656237762873
remove_risk/liquidity/size,risk/liquidity/size,50000000.0,0.02781365417811143,10.863294887730866,0.05973840635650007,0.047256767344338875,1.251576497638171,-0.061778460314428796,1.9994682959286314,0.9997341479643157
remove_risk/liquidity/size,risk/liquidity/size,250000000.0,0.02781365417811143,10.863294887730866,0.05892101984336029,0.05122304201000116,1.1435094617584067,-0.08244224513223886,1.6123577604744626,0.8061788802372313
remove_risk/liquidity/size,risk/liquidity/size,1000000000.0,0.02781365417811143,10.863294887730866,0.02854745378508583,0.028858983956783175,0.9898262629640839,-0.07254274321963494,0.5743708725523751,0.28718543627618753
remove_fundamental/value/quality,fundamental/value/quality,50000000.0,0.029605563858198132,10.203432391031946,0.06524949304968142,0.04979069695897669,1.2945365341705835,-0.14044744417962163,1.9981779305932967,0.9990889652966484
remove_fundamental/value/quality,fundamental/value/quality,250000000.0,0.029605563858198132,10.203432391031946,0.07014022886351312,0.04902475980280434,1.407451007270982,-0.09754169251008127,1.4908997910631234,0.7454498955315617
remove_fundamental/value/quality,fundamental/value/quality,1000000000.0,0.029605563858198132,10.203432391031946,0.033839055425150644,0.026381057284590753,1.2747312068271897,-0.06214032293200089,0.499754450104818,0.249877225052409
remove_earnings/revision,earnings/revision,50000000.0,0.02837246501050084,9.753543555131797,0.06864079075082063,0.050102662886241434,1.3502360073873623,-0.13818749944266362,1.9983042622109428,0.9991521311054714
remove_earnings/revision,earnings/revision,250000000.0,0.02837246501050084,9.753543555131797,0.07309577619478191,0.04857888832142667,1.4766844186782033,-0.10186483004750502,1.4976694148880143,0.7488347074440072
remove_earnings/revision,earnings/revision,1000000000.0,0.02837246501050084,9.753543555131797,0.03157543683529007,0.02711291389107991,1.160207774750781,-0.07361862408118836,0.5048139215699231,0.25240696078496155
remove_short-interest/borrow-stress,short-interest/borrow-stress,50000000.0,0.028907853474950004,9.846412749463912,0.07336816491818565,0.050367224444075896,1.4310691982678692,-0.14553321486394166,1.9984080976045775,0.9992040488022887
remove_short-interest/borrow-stress,short-interest/borrow-stress,250000000.0,0.028907853474950004,9.846412749463912,0.07697691600916956,0.05000952465221359,1.5080782415915668,-0.11317623708122815,1.5664787694539504,0.7832393847269752
remove_short-interest/borrow-stress,short-interest/borrow-stress,1000000000.0,0.028907853474950004,9.846412749463912,0.03700129388853601,0.027714905604435087,1.3248935527403767,-0.07146298424000697,0.5638597287334526,0.2819298643667263
remove_industry-return,industry-return,50000000.0,0.02895478017272923,9.942309651220583,0.06596476653455796,0.05014555994472204,1.2991127330299652,-0.13818749944266362,1.998237932098481,0.9991189660492406
remove_industry-return,industry-return,250000000.0,0.02895478017272923,9.942309651220583,0.07274247310869719,0.04955744569589355,1.4418624778066231,-0.10186483004750502,1.49867447219557,0.749337236097785
remove_industry-return,industry-return,1000000000.0,0.02895478017272923,9.942309651220583,0.03489243676261089,0.026826695293100257,1.2919644971377775,-0.05651856705962888,0.5059481089328633,0.2529740544664317
