date,overnight,intraday,close_to_close,names
2010-01-04,0.009764009693747739,0.007372815922099968,0.01720285944851898,986
2010-01-05,-0.00019217588583759877,0.0010412936359189323,0.0008388042852715518,986
2010-01-06,-0.000615515779487502,0.00292677662008402,0.002299490023327518,986
2010-01-07,-0.0010717622807310146,0.007936489484662622,0.0068498762661943794,986
2010-01-08,-0.0032256839375997826,0.007067309961511315,0.0038084784118660444,986
2010-01-11,0.00489807270536007,-0.004746191900439147,8.05058078311118e-05,986
2010-01-12,-0.006441410492370341,-0.0046761022133561475,-0.011092150755491748,986
2010-01-13,0.002775228482578634,0.008420494399129995,0.011200612031311062,986
2010-01-14,-0.0022165027474309075,0.004925605235751804,0.0026944376763027317,986
2010-01-15,0.0009472419173706158,-0.013086547130105606,-0.012180361617617581,986
2010-01-19,4.151859934249617e-06,0.013701064980806123,0.013690335652527877,986
2010-01-20,-0.007343904160074436,-0.0035439040307380667,-0.010847093637661018,986
2010-01-21,0.0022925484588181416,-0.016585713908163876,-0.014326532222539962,986
2010-01-22,-0.0017589883541361505,-0.017247703752946965,-0.018979158502375436,986
2010-01-25,0.009307403931516404,-0.006675502819722961,0.0025437686559244446,986
2010-01-26,-0.0033918632899123244,-0.0019042647197606674,-0.005304588934148176,986
2010-01-27,-0.0022107671665558774,0.00986031384843294,0.007601008610777597,986
2010-01-28,0.00316311417739322,-0.01697657394257273,-0.013931698375869639,986
2010-01-29,0.005315993786317755,-0.015274839009931289,-0.010068583379144376,986
2010-02-01,0.0050211311587996165,0.009284412934080007,0.014351737431563264,986
2010-02-02,0.0013776741462092033,0.009291918048635422,0.010672740318384048,986
2010-02-03,-0.0040102024903214935,-0.0024577427855209887,-0.006480494840170492,986
2010-02-04,-0.006717341420448393,-0.024803575731374494,-0.0313478637564246,986
2010-02-05,0.0007633676151309524,0.0021685561425772376,0.002862610204447723,986
2010-02-08,0.0008920726882315372,-0.009080909247880986,-0.008212046366803038,986
2010-02-09,0.01184157133047903,0.001843256138759456,0.013711725881677492,986
