experiment_group,experiment_name,AUM,net_annual_return,net_vol,net_sharpe,max_drawdown,gross_sharpe,commission_drag,slippage_drag,borrow_drag,average_daily_turnover,average_gross_exposure_used,cap_binding_days,average_long_names,average_short_names,IC_mean,IC_tstat,worst_12m_return,notes
A_basket_size,top_bottom_3pct,50000000.0,0.014369719691830873,0.056704118093749645,0.2799713372974793,-0.3070485692094844,2.2404767640788714,0.4430794451157527,1.329286700214149,0.18813928145149034,1.9938182617790163,0.9969091308895082,3590,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.16586342462997583,Current baseline basket.
A_basket_size,top_bottom_3pct,250000000.0,0.01686856911883905,0.04709857988743908,0.37871258524958523,-0.24577080487154135,1.7285964663082292,0.3089594780428968,0.9284694077699691,0.11245499524577801,1.157850272817945,0.5789251364089725,3773,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.1297698772435233,Current baseline basket.
A_basket_size,top_bottom_3pct,1000000000.0,-0.0017618114912920646,0.021720529121737647,-0.07029689165788992,-0.20183588060836244,0.8038635303471164,0.20124087268638147,0.6021781302811888,0.0707414190374361,0.3450035092554944,0.1725017546277472,3773,24.916534181240063,24.916534181240063,0.027312156387015896,8.362961872298367,-0.17834588253313577,Current baseline basket.
A_basket_size,top_bottom_5pct,50000000.0,-0.007823702930898846,0.05065240203830238,-0.1297272254909677,-0.31737305453024134,2.0654802700926123,0.4974368866396388,1.4923164534607274,0.20545415548321377,1.9994700582935878,0.9997350291467939,2612,41.84658187599364,41.84658187599364,0.027312156387015896,8.362961872298367,-0.16702005862427916,
A_basket_size,top_bottom_5pct,250000000.0,0.007291876776831296,0.05009893201610223,0.17006437213085412,-0.2893472343672713,1.9542713843379937,0.4092833126898292,1.2293212352793457,0.14560246423796475,1.6303317446848522,0.8151658723424261,3773,41.84658187599364,41.84658187599364,0.027312156387015896,8.362961872298367,-0.1634507646838469,
A_basket_size,top_bottom_5pct,1000000000.0,-0.002620137554936619,0.029888716610690636,-0.0728109559034437,-0.27769929513163416,1.0375681349823154,0.25661854592632716,0.7690221551451705,0.0847383898142615,0.6069583350451543,0.30347916752257714,3773,41.84658187599364,41.84658187599364,0.027312156387015896,8.362961872298367,-0.21390223283913756,
A_basket_size,top_bottom_7_5pct,50000000.0,-0.02020715325242084,0.04597497804626187,-0.4210144618454211,-0.3554936867386924,1.9894723894684858,0.548009701031875,1.6440352229431805,0.21844192733885148,1.9994700582935878,0.9997350291467939,399,62.989136195018546,62.989136195018546,0.027312156387015896,8.362961872298367,-0.18932355369930254,
A_basket_size,top_bottom_7_5pct,250000000.0,-0.012140661144665055,0.04730263940217317,-0.2345720395534378,-0.30472715850115006,1.9754834644636177,0.5066175312644599,1.5203631767759995,0.1830747959765962,1.9028122398071734,0.9514061199035867,3773,62.989136195018546,62.989136195018546,0.027312156387015896,8.362961872298367,-0.1862177662165071,
A_basket_size,top_bottom_7_5pct,1000000000.0,-0.000763622069909986,0.0364381876687591,-0.002752591526302564,-0.2744790374313053,1.382247150126209,0.32078836977028646,0.9634572755556688,0.10075409632655628,0.9287680640703885,0.46438403203519424,3773,62.989136195018546,62.989136195018546,0.027312156387015896,8.362961872298367,-0.14616340409688577,
A_basket_size,top_bottom_10pct,50000000.0,-0.028726732235274777,0.042904877898661244,-0.6578474827681617,-0.4054492964524794,1.91880193588404,0.5872174206121925,1.7616584005409162,0.2277735974990931,1.9994700582935874,0.9997350291467937,7,84.18282988871225,84.18282988871225,0.027312156387015896,8.362961872298367,-0.17696758461488205,
A_basket_size,top_bottom_10pct,250000000.0,-0.025789959307991994,0.04405003094400271,-0.5710868384860841,-0.37165720404919556,1.9131218662986353,0.568735307903141,1.7062794789316869,0.20919391794989167,1.9883995706266488,0.9941997853133244,3772,84.18282988871225,84.18282988871225,0.027312156387015896,8.362961872298367,-0.1960945753033203,
A_basket_size,top_bottom_10pct,1000000000.0,-0.0005016904631558461,0.039818987615882234,0.007307421339977396,-0.27220513365144117,1.6494253766078022,0.3807017486369333,1.1440805969873193,0.11733560964357218,1.2060652119595432,0.6030326059797716,3773,84.18282988871225,84.18282988871225,0.027312156387015896,8.362961872298367,-0.13476341949296378,
A_basket_size,long_3pct_short_5pct,50000000.0,-0.0033520715262262968,0.05443390116720523,-0.03445983490040691,-0.3087437036211256,2.0081720260762044,0.4628619217661101,1.3885850946362002,0.19118484457430093,1.9993881514565452,0.9996940757282726,2722,24.916534181240063,41.84658187599364,0.027312156387015896,8.362961872298367,-0.16452394937148118,
A_basket_size,long_3pct_short_5pct,250000000.0,0.007647842899693114,0.051989324078852026,0.17252380256249206,-0.2960019422742969,1.7573424313909642,0.36217515320996596,1.0872848426833963,0.13535863293511002,1.49562093444079,0.747810467220395,3773,24.916534181240063,41.84658187599364,0.027312156387015896,8.362961872298367,-0.1702850195147373,
A_basket_size,long_3pct_short_5pct,1000000000.0,-0.005558112763508816,0.03015940279252587,-0.16971582572760077,-0.28952049896240917,0.8220274686528728,0.22821218356582418,0.6837244139565855,0.07980669685806398,0.5446023375281968,0.2723011687640984,3773,24.916534181240063,41.84658187599364,0.027312156387015896,8.362961872298367,-0.20903325499383962,
A_basket_size,long_5pct_short_10pct,50000000.0,-0.02521852393803159,0.04809963738490339,-0.5069283684147408,-0.4030802171557395,1.7915135560046276,0.523815710538766,1.57145190396328,0.20317430991732255,1.9994700582935878,0.9997350291467939,1209,41.84658187599364,84.18282988871225,0.027312156387015896,8.362961872298367,-0.17218459948241416,
A_basket_size,long_5pct_short_10pct,250000000.0,-0.0204510714770042,0.0495872752601994,-0.3918776290396888,-0.3663306908640649,1.7715431961365466,0.494845172094152,1.4841899361573518,0.1843857169247316,1.9465222957096162,0.9732611478548081,3773,41.84658187599364,84.18282988871225,0.027312156387015896,8.362961872298367,-0.18144047328793134,
