example,date,ticker,instrument_id,market_cap,adv20_dollar,vol20_annual,sigma_daily,participation_cap,sqrt_impact_coefficient,impact_at_5pct_adv_bps
typical_mid_cap,2024-12-31,EXE,1179,23072692151.3,220570869.29899997,0.18693713805127632,0.011775932811567302,0.05,0.7,18.432250385594294
typical_large_cap,2024-12-31,FISV,215,115856880000.0,492695382.0,0.09787441476893409,0.006165508599871116,0.05,0.7,9.650547441619956
