AUM,subperiod,start_date,end_date,days,annual_return,annual_vol,sharpe,max_drawdown,worst_3m_return,worst_6m_return,worst_12m_return,top_5pct_days_pnl_share,return_autocorrelation_lag1,sharpe_autocorr_note,average_gross_exposure_used,cap_binding_days,fraction_cap_binding_days
50000000.0,year_2010,2010-01-04,2010-12-31,252,-0.13805341670658822,0.049667999270208645,-2.965468118982466,-0.1381874994426614,-0.07510722018787386,-0.10176965027150398,-0.13805341670658822,-0.5349352068595203,-0.11596361781319184,no large positive lag-1 autocorrelation,0.9915290698014608,252,1.0
50000000.0,year_2011,2011-01-03,2011-12-30,252,0.3085144399835391,0.06461199488500889,4.196021268562573,-0.019757702019620238,0.004665292134638177,0.06366353829710181,0.3085144399835391,0.5114219049357656,-0.07789327522788221,no large positive lag-1 autocorrelation,0.999741338103496,252,1.0
50000000.0,year_2012,2012-01-03,2012-12-31,250,0.1650906892888111,0.03991875503781437,3.8487547280509813,-0.01591412205030951,0.012314304845608248,0.038364563615607805,,0.6044429160327682,-0.12798985123262835,no large positive lag-1 autocorrelation,1.0,250,1.0
50000000.0,year_2013,2013-01-02,2013-12-31,252,0.10917288401484582,0.03218861967480098,3.235666260668227,-0.012515363503868837,0.004565653251633384,0.03652498693027395,0.10917288401484582,0.6427647231940153,0.009786432927050422,no large positive lag-1 autocorrelation,1.0,252,1.0
50000000.0,year_2014,2014-01-02,2014-12-31,252,0.013836442620233091,0.03749064493647948,0.385205831385656,-0.057670596661951845,-0.04596544685041404,-0.05365936337819599,0.013836442620233091,4.923285031893953,0.029007438073275185,no large positive lag-1 autocorrelation,1.0,252,1.0
50000000.0,year_2015,2015-01-02,2015-12-31,252,0.03521298040690857,0.03438240325813134,1.023714277281298,-0.018068224524823262,-0.013854269350080828,-0.0049694905930708355,0.03521298040690857,2.0530924302367954,-0.0281712129390164,no large positive lag-1 autocorrelation,1.0,252,1.0
50000000.0,year_2016,2016-01-04,2016-12-30,252,0.06246481010452509,0.042032414661152116,1.462677710141941,-0.024030920033794256,-0.018018871979317175,-0.013500383856865361,0.06246481010452509,1.1895730611669624,-0.025552285895889117,no large positive lag-1 autocorrelation,1.0,252,1.0
50000000.0,year_2017,2017-01-03,2017-12-29,251,0.011615260928409699,0.028867956316930076,0.4144259359718541,-0.02299555725050728,-0.020135111280130236,-0.007840921450507743,,4.378457219255138,0.018280051795588198,no large positive lag-1 autocorrelation,1.0,251,1.0
50000000.0,year_2018,2018-01-02,2018-12-31,251,0.00047406179183084873,0.0395659196728719,0.031692118053059166,-0.03514853147913555,-0.0240424088116703,-0.03254680179787073,,59.0247117572994,-0.0296601987439498,no large positive lag-1 autocorrelation,1.0,251,1.0
50000000.0,year_2019,2019-01-02,2019-12-31,252,0.07891094172273716,0.034379061709082594,2.2266945619706524,-0.011961546074793938,-0.004540210123862742,0.018181092396034826,0.07891094172273716,0.9344318479438948,-0.052491824560581,no large positive lag-1 autocorrelation,0.9999999999999999,250,0.9920634920634921
